1,181.75,171,20.5,50,16.628
1,2.4779,168,28.991,70.709,13.213
2,-3.4615,170.77,31.538,76.923,13.988
2,181.75,163,20.5,50,9.9411
2,12.581,174.19,26.452,64.516,7.9299
3,181.75,163,20.5,50,15.625
3,-3.4615,170.77,31.538,76.923,11.84
3,165.75,171,20.5,50,7.4128
3,581.15,232.31,31.538,76.923,3.3819
4,181.75,167,20.5,50,14.896
4,-3.4615,170.77,31.538,76.923,12.957
4,162.99,169.09,22.334,54.474,4.9142
5,180.41,164.73,22.334,54.474,19.044
5,-3.4615,170.77,31.538,76.923,10.688
5,69.75,131,20.5,50,5.6892
5,165.75,171,20.5,50,4.5891
6,-2.9032,179.35,26.452,64.516,8.7569
6,189.75,167,20.5,50,5.4631
6,169.75,167,20.5,50,1.6014
6,263.85,83.077,63.077,153.85,1.0096
7,209.75,167,20.5,50,18.191
7,113.75,187,20.5,50,7.0468
7,1.75,199,20.5,50,1.5473
7,109.75,35,20.5,50,-0.39181
7,257.75,71,20.5,50,-0.77389
8,209.75,175,20.5,50,10.756
8,9.0323,-5.2174,106.29,259.24,10.169
8,189.75,179,20.5,50,7.9947
8,101.15,176.92,31.538,76.923,5.3009
8,589.75,247,20.5,50,2.5976
9,69.425,175.38,37.762,92.102,23.951
9,84.138,168,37.762,92.102,18.273
9,557.75,251,20.5,50,9.7971
9,33.462,201.54,31.538,76.923,8.6225
9,181.75,179,20.5,50,5.4719
9,39.615,183.08,31.538,76.923,3.7365
9,193.47,173.45,22.334,54.474,3.2615
9,173.75,179,20.5,50,2.7256
10,3.5,190,41,100,26.227
10,85.75,183,20.5,50,13.96
10,345.75,167,20.5,50,10.365
10,162.99,177.82,22.334,54.474,3.0419
10,171.7,177.82,22.334,54.474,0.50677
11,49.75,175,20.5,50,8.7874
11,381.95,139.76,28.991,70.709,8.4718
11,473.75,159,20.5,50,5.806
11,141.61,163.87,26.452,64.516,2.2954
11,267.5,158,41,100,1.9921
12,389.35,138.06,26.452,64.516,7.8847
12,489.75,151,20.5,50,6.559
12,14.966,169.09,22.334,54.474,2.0866
13,394.52,138.06,26.452,64.516,8.0303
13,378.08,127.69,31.538,76.923,5.0652
14,563.54,199.64,22.334,54.474,11.495
14,398.94,122.82,28.991,70.709,7.9519
14,131.5,134,41,100,7.523
14,517.75,143,20.5,50,5.5028
14,51.5,118,41,100,3.3786
14,357.75,143,20.5,50,2.2877
15,542.52,131.88,24.322,59.321,12.039
15,410.27,122.82,28.991,70.709,8.2836
15,427.26,122.82,28.991,70.709,4.9428
15,255,96.923,31.538,76.923,0.49919
16,589.93,117.62,24.322,59.321,11.333
16,439,-4,82,200,5.1642
17,581.64,39.13,53.647,130.85,1.0395
17,301.75,139,20.5,50,0.88392
18,389.75,135,20.5,50,14.199
18,42.388,84,49.058,119.65,5.9676
18,413.75,135,20.5,50,5.9559
18,165.75,87,20.5,50,2.8972
19,100.27,189.82,44.846,109.38,4.582
20,6.2585,256.36,22.334,54.474,5.8475
20,88.98,269.45,22.334,54.474,3.9902
20,438.33,-6.6667,136.67,333.33,1.0379
21,436.15,193.85,63.077,153.85,15.315
